icao,name,lat,lon,elev_ft,type,country
EDMD,Dachau-Gröbenried Airfield,48.22868,11.42213,1608,small_airport,DE
EDME,Eggenfelden Airfield,48.39611,12.72361,1342,small_airport,DE
EDMF,Fürstenzell Airfield,48.51805,13.34583,1345,small_airport,DE
EDMG,Günzburg-Donauried Airfield,48.48667,10.28333,1457,small_airport,DE
EDMH,Gunzenhausen-Reutberg Airfield,49.11223,10.78217,1591,small_airport,DE
EDMI,Illertissen Airfield,48.235,10.1377,1680,small_airport,DE
EDMJ,Jesenwang Airfield,48.17437,11.12536,1860,small_airport,DE
EDMK,Kempten-Durach Airfield,47.69194,10.33806,2339,small_airport,DE
EDML,Landshut Airfield,48.51202,12.03486,1312,medium_airport,DE
EDMN,Mindelheim-Mattsies Airfield,48.10695,10.525,1857,small_airport,DE
EDMO,Oberpfaffenhofen Airport,48.0814,11.2831,1947,medium_airport,DE
EDMP,Vilsbiburg Airfield,48.42611,12.34528,1450,small_airport,DE
EDMQ,Donauwörth-Genderkingen Airfield,48.70306,10.85232,1312,small_airport,DE
EDMS,Straubing Airport,48.90083,12.51667,1047,small_airport,DE
EDMT,Tannheim Airfield,48.01,10.09861,1903,small_airport,DE
EDMU,Gundelfingen Airfield,48.56934,10.35854,1447,small_airport,DE
EDMV,Vilshofen Airfield,48.635,13.19556,991,small_airport,DE
EDMW,Deggendorf Airfield,48.83028,12.87972,1030,small_airport,DE
EDMY,Mühldorf Airfield,48.27958,12.50045,1325,small_airport,DE
EDNA,Ampfing-Waldkraiburg Airfield,48.26361,12.41167,1362,small_airport,DE
EDNB,Arnbruck Airfield,49.12472,12.98556,1716,small_airport,DE
EDNC,Beilngries Airfield,49.02139,11.48472,1211,small_airport,DE
EDND,Dinkelsbühl-Sinbronn Airfield,49.06508,10.40352,1598,small_airport,DE
EDNE,Erbach Airfield,48.34222,9.91611,1558,small_airport,DE
EDNF,Elsenthal Grafe Airfield,48.8225,13.3675,1417,small_airport,DE
EDNG,Giengen/Brenz Airfield,48.63425,10.21648,1696,small_airport,DE
EDNH,Bad Wörishofen (Nord) Airfield,48.01612,10.61502,2034,small_airport,DE
EDNI,Berching Airfield,49.13104,11.44321,1266,small_airport,DE
EDNJ,Neuburg-Egweil Airfield,48.78194,11.21528,1345,small_airport,DE
EDNK,Kirchdorf/Inn Airfield,48.23833,12.97667,1138,small_airport,DE
EDNL,Leutkirch-Unterzeil Airfield,47.85889,10.01417,2100,small_airport,DE
EDNM,Nittenau-Bruck Airfield,49.2225,12.29667,1161,small_airport,DE
EDNO,Nördlingen Airfield,48.87056,10.505,1385,small_airport,DE
EDNP,Pfarrkirchen Airfield,48.42028,12.86472,1266,small_airport,DE
EDNQ,Bopfingen Airfield,48.84806,10.33389,2028,small_airport,DE
EDNR,Regensburg-Oberhub Airfield,49.14194,12.08194,1299,small_airport,DE
EDNS,Schwabmünchen Airfield,48.17917,10.70278,1804,small_airport,DE
EDNT,Treuchtlingen-Bubenheim Airfield,48.99611,10.88417,1345,small_airport,DE
EDNU,Thannhausen Airfield,48.29,10.44194,1611,small_airport,DE
EDNV,Vogtareuth Airfield,47.94611,12.20472,1535,small_airport,DE
EDNW,Weißenhorn Airfield,48.28944,10.14028,1644,small_airport,DE
EDNX,Schleissheim Airfield,48.23917,11.55933,1594,small_airport,DE
EDNY,Bodensee Airport Friedrichshafen,47.6713,9.51149,1367,large_airport,DE
EDNZ,Zell-Haidberg Airfield,50.13694,11.79444,2083,small_airport,DE
EDOA,Auerbach Airfield,50.4973,12.37799,1880,small_airport,DE
EDOB,Bad Berka Airfield,50.90445,11.26028,1001,small_airport,DE
EDOC,Gardelegen Airfield,52.52964,11.34942,230,small_airport,DE
EDOD,Reinsdorf Airfield,51.90083,13.19444,335,small_airport,DE
EDOE,Böhlen Airfield,51.21389,12.36361,430,small_airport,DE
EDOF,Bad Frankenhausen Airfield,51.3725,11.14139,761,small_airport,DE
EDOG,Torgau-Beilrode Airfield,51.57091,13.05164,,small_airport,DE
